   Date    | start |  end  | time | total
2017/02/26 | 10:35 | 10:45 | 0:10 | 0:10
2017/02/27 | 10:20 | 10:40 | 0:20 | 0:30
2017/03/02 | 02:30 | 03:00 | 0:30 | 1:00
2017/03/05 | 08:20 | 11:50 | 3:30 | 4:30
2017/03/08 | 06:25 | 07:50 | 1:25 | 5:55
2017/03/12 | 11:00 | 12:30 | 1:30 | 7:25
2017/03/12 | 08:00 | 09:20 | 1:20 | 8:45
2017/03/13 | 07:15 | 07:30 | 0:15 | 9:00
