NDB_NO,Description,Fat per gram,Protein per gram,Carbs per gram,Calories per gram,F + P + C
5076,"Chicken, broilers or fryers, leg, meat and skin, cooked, fried, batter",0.161684211,0.217684211,0.087157895,2.726315789,0.466526317
5077,"Chicken, broilers or fryers, leg, meat and skin, cooked, fried, flour",0.144328358,0.268358209,0.025074627,2.537313433,0.437761194
5078,"Chicken, broilers or fryers, leg, meat and skin, cooked, roasted",0.089882353,0.240352941,0,1.835294118,0.330235294
5079,"Chicken, broilers or fryers, leg, meat and skin, cooked, stewed",0.129214286,0.241714286,0,2.2,0.370928572
5081,"Chicken, broilers or fryers, leg, meat only, cooked, fried",0.093214286,0.28375,0.006428571,2.071428571,0.383392857
5082,"Chicken, broilers or fryers, leg, meat only, cooked, roasted",0.078,0.242235294,0,1.741176471,0.320235294
5083,"Chicken, broilers or fryers, leg, meat only, cooked, stewed",0.080588235,0.262588235,0,1.847058824,0.34317647
5085,"Chicken, broilers or fryers, neck, meat and skin, cooked, fried, batter",0.235,0.198125,0.086875,3.3125,0.52
5086,"Chicken, broilers or fryers, neck, meat and skin, cooked, fried, flour",0.236363636,0.24,0.042727273,3.363636364,0.519090909
5087,"Chicken, broilers or fryers, neck, meat and skin, cooked simmered",0.180909091,0.196363636,0,2.454545455,0.377272727
5089,"Chicken, broilers or fryers, neck, meat only, cooked, fried",0.118571429,0.268571429,0.017142857,2.285714286,0.404285715
5090,"Chicken, broilers or fryers, neck, meat only, cooked, simmered",0.082,0.246,0,1.8,0.328
5092,"Chicken, broilers or fryers, thigh, meat and skin, cooked, fried, batter",0.165384615,0.216153846,0.090769231,2.769230769,0.472307692
5093,"Chicken, broilers or fryers, thigh, meat and skin, cooked, fried, flour",0.149736842,0.267368421,0.031842105,2.631578947,0.448947368
5094,"Chicken, broilers or fryers, thigh, meat and skin, cooked, roasted",0.147080292,0.232627737,0,2.321167883,0.379708029
5095,"Chicken, broilers or fryers, thigh, meat and skin, cooked, stewed",0.147317073,0.232682927,0,2.317073171,0.38
5097,"Chicken, broilers or fryers, thigh, meat only, cooked, fried",0.102903226,0.281935484,0.011935484,2.193548387,0.396774194
5098,"Chicken, broilers or fryers, thigh, meat only, cooked, roasted",0.081465517,0.247586207,0,1.793103448,0.329051724
5099,"Chicken, broilers or fryers, thigh, meat only, cooked, stewed",0.097928571,0.25,0,1.95,0.347928571
5101,"Chicken, broilers or fryers, wing, meat and skin, cooked, fried, batter",0.217931034,0.19862069,0.109310345,3.24137931,0.525862069
5102,"Chicken, broilers or fryers, wing, meat and skin, cooked, fried, flour",0.221578947,0.261052632,0.023684211,3.210526316,0.50631579
5103,"Chicken, broilers or fryers, wing, meat and skin, cooked, roasted",0.168705882,0.237882353,0,2.541176471,0.406588235
5104,"Chicken, broilers or fryers, wing, meat and skin, cooked, stewed",0.168214286,0.227785714,0,2.492857143,0.396
5106,"Chicken, broilers or fryers, wing, meat only, cooked, fried",0.091666667,0.301666667,0,2.083333333,0.393333334
5107,"Chicken, broilers or fryers, wing, meat only, cooked, roasted",0.081538462,0.304615385,0,2,0.386153847
5108,"Chicken, broilers or fryers, wing, meat only, cooked, stewed",0.071785714,0.271785714,0,1.807142857,0.343571428
5110,"Chicken, roasting, meat and skin and giblets and neck, cooked, roasted",0.130705882,0.239647059,0.000470588,2.2,0.370823529
5111,"Canada Goose, breast meat, skinless, raw",0.040235294,0.243058824,0,1.329411765,0.283294118
5112,"Chicken, roasting, meat and skin, cooked, roasted",0.133882353,0.239647059,0,2.235294118,0.373529412
5114,"Chicken, roasting, meat only, cooked, roasted",0.066285714,0.250071429,0,1.671428571,0.316357143
5116,"Chicken, roasting, giblets, cooked, simmered",0.052206897,0.267724138,0.00862069,1.648275862,0.328551725
5118,"Chicken, roasting, light meat, meat only, cooked, roasted",0.040714286,0.271285714,0,1.528571429,0.312
5120,"Chicken, roasting, dark meat, meat only, cooked, roasted",0.0875,0.2325,0,1.778571429,0.32
5122,"Chicken, stewing, meat and skin, and giblets and neck, cooked, stewed",0.119058824,0.248823529,0,2.141176471,0.367882353
5124,"Chicken, stewing, meat and skin, cooked, stewed",0.188705882,0.268823529,0,2.847058824,0.457529411
5126,"Chicken, stewing, meat only, cooked, stewed",0.118928571,0.304214286,0,2.371428571,0.423142857
5128,"Chicken, stewing, giblets, cooked, simmered",0.092965517,0.257310345,0.001103448,1.937931034,0.35137931
5130,"Chicken, stewing, light meat, meat only, cooked, stewed",0.079785714,0.330428571,0,2.128571429,0.410214285
5132,"Chicken, stewing, dark meat, meat only, cooked, stewed",0.152785714,0.281428571,0,2.578571429,0.434214285
5134,"Chicken, capons, meat and skin and giblets and neck, cooked, roasted",0.116705882,0.283529412,0.000352941,2.258823529,0.400588235
5136,"Chicken, capons, meat and skin, cooked, roasted",0.116470588,0.289647059,0,2.294117647,0.406117647
5138,"Chicken, capons, giblets, cooked, simmered",0.054,0.263931034,0.007586207,1.64137931,0.325517241
5139,"Duck, domesticated, meat and skin, raw",0.393411765,0.114941176,0,4.035294118,0.508352941
5140,"Duck, domesticated, meat and skin, cooked, roasted",0.2835,0.189928571,0,3.371428571,0.473428571
5141,"Duck, domesticated, meat only, raw",0.059489051,0.182773723,0.009416058,1.350364964,0.251678832
